Episode,Baseline,Hybrid
319,500.0,24.0
320,500.0,35.0
321,500.0,95.0
322,500.0,10.0
323,500.0,18.0
324,500.0,31.0
325,500.0,30.0
326,500.0,10.0
327,500.0,11.0
328,500.0,14.0
329,60.0,23.0
330,65.0,39.0
331,500.0,37.0
332,500.0,28.0
333,500.0,27.0
334,500.0,30.0
335,66.0,14.0
336,500.0,41.0
337,453.0,51.0
338,350.0,11.0
339,10.0,12.0
340,385.0,12.0
341,354.0,26.0
342,414.0,14.0
343,373.0,91.0
344,500.0,46.0
345,500.0,34.0
346,24.0,45.0
347,500.0,22.0
348,500.0,124.0
349,500.0,10.0
350,269.0,10.0
351,500.0,9.0
352,500.0,10.0
353,500.0,11.0
354,500.0,14.0
355,500.0,76.0
356,500.0,10.0
357,22.0,60.0
358,326.0,12.0
359,302.0,33.0
360,116.0,9.0
361,21.0,80.0
362,20.0,14.0
363,500.0,103.0
364,500.0,56.0
365,500.0,37.0
366,100.0,26.0
367,500.0,40.0
368,500.0,19.0
369,500.0,11.0
370,500.0,27.0
371,500.0,17.0
372,107.0,21.0
373,500.0,60.0
374,500.0,18.0
375,179.0,19.0
376,500.0,19.0
377,500.0,37.0
378,500.0,17.0
379,500.0,17.0
380,500.0,20.0
381,500.0,29.0
382,500.0,12.0
383,500.0,33.0
384,500.0,17.0
385,500.0,20.0
386,500.0,34.0
387,500.0,20.0
388,500.0,40.0
389,500.0,19.0
390,500.0,22.0
391,500.0,47.0
392,500.0,31.0
393,500.0,26.0
394,500.0,11.0
395,500.0,20.0
396,500.0,25.0
397,500.0,38.0
398,500.0,37.0
399,500.0,43.0
400,500.0,43.0
401,500.0,30.0
402,500.0,38.0
403,500.0,50.0
404,500.0,14.0
405,500.0,25.0
406,500.0,58.0
407,255.0,12.0
408,500.0,22.0
409,500.0,37.0
410,500.0,27.0
411,500.0,11.0
412,500.0,75.0
413,500.0,56.0
414,500.0,14.0
415,500.0,12.0
416,500.0,82.0
417,500.0,41.0
418,500.0,15.0
419,500.0,17.0
420,500.0,22.0
421,500.0,59.0
422,500.0,59.0
423,500.0,18.0
424,500.0,31.0
425,133.0,22.0
426,500.0,29.0
427,500.0,47.0
428,500.0,65.0
429,500.0,14.0
430,500.0,22.0
431,500.0,21.0
432,500.0,10.0
433,500.0,25.0
434,500.0,39.0
435,500.0,19.0
436,500.0,25.0
437,500.0,15.0
438,500.0,20.0
439,500.0,26.0
440,110.0,50.0
441,500.0,92.0
442,119.0,38.0
443,500.0,33.0
444,500.0,12.0
445,500.0,34.0
446,500.0,9.0
447,500.0,75.0
448,19.0,21.0
449,203.0,84.0
450,500.0,44.0
451,500.0,17.0
452,500.0,38.0
453,500.0,12.0
454,500.0,13.0
455,500.0,15.0
456,500.0,41.0
457,500.0,20.0
458,500.0,40.0
459,106.0,37.0
460,191.0,19.0
461,386.0,68.0
462,214.0,12.0
463,218.0,39.0
464,363.0,75.0
465,213.0,37.0
466,500.0,16.0
